source_road,target_road,distance,connection_type
1,2,1.725221394154422,sequential
1,17,1.8782263961860388,intersection
2,3,0.843796414744094,sequential
3,4,1.257088424295516,sequential
4,5,1.0190580420064068,sequential
5,6,1.758525894348724,sequential
6,7,1.4572493654078555,sequential
7,8,1.494813374765397,sequential
7,12,1.5396784519647042,intersection
8,9,0.5813612311470191,sequential
8,15,1.2365062711433872,intersection
9,10,1.7845662119707617,sequential
10,11,0.8743005694846613,sequential
11,12,1.1179804186896916,sequential
12,13,1.1503275747862158,sequential
12,4,3.5489443961225544,intersection
13,14,1.4882470242909542,sequential
14,15,1.3870852229884785,sequential
15,16,0.7899286335800721,sequential
16,17,1.2711428840308063,sequential
16,4,4.4153551840650485,intersection
17,18,1.1618385292115787,sequential
18,19,0.8419745746526138,sequential
19,20,1.6682675477483386,sequential
